,Word,Frequency2
0,vaccin,104
1,coronaviru,75
2,_,37
3,develop,27
4,compani,18
5,health,17
6,trump,16
7,new,16
8,peopl,15
9,announc,15
10,research,14
11,pandem,14
12,trial,13
13,world,12
14,presid,12
15,could,12
16,would,11
17,viru,11
18,test,11
19,first,11
20,year,10
21,washington,10
22,state,10
23,experi,10
24,speed,9
25,human,9
26,govern,9
27,get,9
28,covid,9
29,avail,9
30,unit,8
31,tuesday,8
32,spread,8
33,public,8
34,month,8
35,million,8
36,end,8
37,effort,8
38,editor,8
39,day,8
40,around,8
41,american,8
42,work,7
43,scientist,7
44,said,7
45,safe,7
46,protect,7
47,promi,7
48,potenti,7
49,pharmaceut,7
50,one,7
51,may,7
52,mani,7
53,find,7
54,feder,7
55,effect,7
56,drug,7
57,clinic,7
58,billion,7
59,week,6
60,via,6
61,risk,6
62,report,6
63,receiv,6
64,offici,6
65,medic,6
66,live,6
67,inocul,6
68,infect,6
69,immun,6
70,expert,6
71,countri,6
72,worldwid,5
73,way,5
74,two,5
75,tri,5
76,race,5
77,put,5
78,monday,5
79,moderna_,5
80,global,5
81,friday,5
82,dose,5
83,begin,5
84,administr,5
85,],5
86,yet,4
87,wednesday,4
88,warp,4
89,treatment,4
90,studi,4
91,stop,4
92,sign,4
93,say,4
94,program,4
95,podcast,4
96,part,4
97,oper,4
98,next,4
99,news,4
100,nation,4
101,moscow,4
102,monkey,4
103,make,4
104,made,4
105,look,4
106,lead,4
107,largest,4
108,larg,4
109,johnson,4
110,it_,4
111,industri,4
112,hope,4
113,here_,4
114,four,4
115,fight,4
116,depart,4
117,deal,4
118,deadli,4
119,critic,4
120,children,4
121,brief,4
122,biotech,4
123,began,4
124,becom,4
125,alreadi,4
126,[read,4
127,world_,3
128,word,3
129,widespread,3
130,wide,3
131,whether,3
132,well,3
133,want,3
134,vladimir,3
135,use,3
136,u,3
137,timelin,3
138,thursday,3
139,thousand,3
140,thi,3
141,suggest,3
142,stori,3
143,start,3
144,shot,3
145,servic,3
146,safeti,3
147,result,3
148,requir,3
149,readi,3
150,rate,3
151,quickli,3
152,putin,3
153,product,3
154,produc,3
155,press,3
156,perhap,3
157,oxford,3
158,old,3
159,offer,3
160,never,3
161,need,3
162,nearli,3
163,mayb,3
164,manufactur,3
165,maker,3
166,long,3
167,life,3
168,last,3
169,laboratori,3
170,kill,3
171,hundr,3
172,home,3
173,histori,3
174,hacker,3
175,german,3
176,freedom,3
177,fear,3
178,economi,3
179,earli,3
180,discuss,3
181,depend,3
182,deliv,3
183,complet,3
184,china,3
