,Unnamed: 0,abstract,lead_paragraph,headline,keywords,pub_date,news_desk,word_count,lead_paragraph_sw,lead_paragraph_sw_stem,date
0,184,"The president said he was considering further travel restrictions to block infected people from entering the United States, but called his campaign rallies __afe_?even as other groups canceled large events.",WASHINGTON _?President Trump pressed the pharmaceutical industry on Monday to __ccelerate the development_?of vaccines and therapies to contain the outbreak of the coronavirus and hinted at further travel restrictions to keep people already infected out of the United States.,"{'main': 'Trump Presses Drug Industry to Help Contain Coronavirus', 'kicker': None, 'content_kicker': None, 'print_headline': 'Trump Presses Drug Makers for Virus Vaccine and Says His Rallies Are __ery Safe_?, 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Trump, Donald J', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Centers for Disease Control and Prevention', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2020', 'rank': 4, 'major': 'N'}]",2020-03-02T17:34:04+0000,Washington,1132,WASHINGTON _?President Trump pressed pharmaceutical industry Monday __ccelerate development_?vaccines therapies contain outbreak coronavirus hinted travel restrictions keep people already infected United States.,washington _?presid trump press pharmaceut industri monday __cceler development_?vaccin therapi contain outbreak coronaviru hint travel restrict keep peopl alreadi infect unit states.,2020-03-02
1,534,"Dr. Julie Gerberding of Merck discusses the company__ effort in 2014 to respond to the West Africa outbreak. Also: California__ motor vehicle agency, on Real IDs; preventing the loss of forestlands.",To the Editor:,"{'main': 'Vaccine Development: The Ebola Example', 'kicker': 'letters', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Merck & Company Inc', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Ebola Virus', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Forests and Forestry', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Department of Motor Vehicles', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'California', 'rank': 7, 'major': 'N'}]",2020-03-04T17:46:53+0000,Letters,818,To Editor:,To editor:,2020-03-04
2,1202,"President Trump, once a fierce critic of vaccines, has become a cheerleader for them during the coronavirus outbreak. Here__ a look at his changing positions.","President Trump, once a fierce critic of vaccines, has become a cheerleader for them during the coronavirus outbreak. Here__ a look at his changing positions.","{'main': 'Tracing Trump__ Evolving Views on Vaccines', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Childhood', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 5, 'major': 'N'}]",2020-03-09T09:00:21+0000,,0,"President Trump, fierce critic vaccines, become cheerleader coronavirus outbreak. Here__ look changing positions.","presid trump, fierc critic vaccines, becom cheerlead coronaviru outbreak. here_?look chang positions.",2020-03-09
3,1207,"He once blamed vaccines for autism. Now he__ demanding the quick development of one for the coronavirus, but shows limited understanding of the science.","President Trump has been promising the imminent arrival of a vaccine to halt the spread of the coronavirus, the novel germ that has sickened more than 100,000 people worldwide, killed more than 3,400 and is now spreading in the United States.","{'main': 'President Trump on Vaccines: From Skeptic to Cheerleader', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Autism', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Influenza', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Swine Influenza', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Measles', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 7, 'major': 'N'}]",2020-03-09T09:00:25+0000,Science,1953,"President Trump promising imminent arrival vaccine halt spread coronavirus, novel germ sickened 100,000 people worldwide, killed 3,400 spreading United States.","presid trump promis immin arriv vaccin halt spread coronavirus, novel germ sicken 100,000 peopl worldwide, kill 3,400 spread unit states.",2020-03-09
4,2317,"The United States says it will share any vaccine breakthroughs with the world, but German officials appeared rattled by its reported overture to a biotech firm.","BERLIN _?The Trump administration attempted to persuade a German firm developing a possible vaccine for coronavirus to move its research work to the United States, German officials said, raising fears in Berlin that President Trump was trying to assure that any inoculation would be available first, and perhaps exclusively, in the United States.","{'main': 'U.S. Offered __arge Sum_?to German Company for Access to Coronavirus Vaccine Research, German Officials Say', 'kicker': None, 'content_kicker': None, 'print_headline': 'Germany Says Trump Team Tried to Persuade a Firm to Move Its Research', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'CureVac GmbH', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Germany', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Pence, Mike', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Seehofer, Horst', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Menichella, Daniel', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 10, 'major': 'N'}]",2020-03-15T22:53:26+0000,Foreign,1126,"BERLIN _?The Trump administration attempted persuade German firm developing possible vaccine coronavirus move research work United States, German officials said, raising fears Berlin President Trump trying assure inoculation would available first, perhaps exclusively, United States.","berlin _?the trump administr attempt persuad german firm develop possibl vaccin coronaviru move research work unit states, german offici said, rais fear berlin presid trump tri assur inocul would avail first, perhap exclusively, unit states.",2020-03-15
5,2363,"If we get a vaccine for the coronavirus, it will immediately make our world a safer, easier, more reassuring place once again. That__ what vaccines do.","I find myself fantasizing about a Covid-19 vaccine that will get us back to living our lives. About a triumphant announcement that the trial was a resounding success, and science has won, that there is a safe effective vaccine in production, and that we should all line up to get our shots _?a vaccine that will give us back freedom of association, freedom of travel, freedom from the various kinds of worry, anxiety and fear that are filling our news cycles and our minds. It__ a comforting fantasy, but for now it__ just a fantasy.","{'main': 'Coronavirus Vaccine Dreams', 'kicker': 'The Checkup', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Childhood', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Quarantines', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Smallpox', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Poliomyelitis', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Influenza', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Epidemics', 'rank': 8, 'major': 'N'}]",2020-03-16T09:00:07+0000,Well,1259,"I find fantasizing Covid-19 vaccine get us back living lives. About triumphant announcement trial resounding success, science won, safe effective vaccine production, line get shots _?vaccine give us back freedom association, freedom travel, freedom various kinds worry, anxiety fear filling news cycles minds. It__ comforting fantasy, it__ fantasy.","I find fantas covid-19 vaccin get us back live lives. about triumphant announc trial resound success, scienc won, safe effect vaccin production, line get shot _?vaccin give us back freedom association, freedom travel, freedom variou kind worry, anxieti fear fill news cycl minds. it_?comfort fantasy, it_?fantasy.",2020-03-16
6,2482,Healthy volunteers will test different doses of the first vaccine to find out if it is safe.,"The first testing in humans of an experimental vaccine for the new coronavirus began on Monday, the National Institute of Allergy and Infectious Diseases announced.","{'main': 'Trial of Coronavirus Vaccine Made by Moderna Begins in Seattle', 'kicker': None, 'content_kicker': None, 'print_headline': 'Testing on Humans Begins For an Experimental Vaccine', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'RNA (Ribonucleic Acid)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Quarantines', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'SARS (Severe Acute Respiratory Syndrome)', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Kaiser Permanente', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'National Institute of Allergy and Infectious Diseases', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Moderna Inc', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'your-feed-healthcare', 'rank': 9, 'major': 'N'}]",2020-03-16T23:12:19+0000,Science,817,"The first testing humans experimental vaccine new coronavirus began Monday, National Institute Allergy Infectious Diseases announced.","the first test human experiment vaccin new coronaviru began monday, nation institut allergi infecti diseas announced.",2020-03-16
7,3120,"The United States, China and Europe are battling to be the first to find a cure, bringing a nationalist element to a worldwide crisis.",WASHINGTON _?A global arms race for a coronavirus vaccine is underway.,"{'main': 'Search for Coronavirus Vaccine Becomes a Global Competition', 'kicker': None, 'content_kicker': None, 'print_headline': 'A Global Race To Figure Out A Silver Bullet', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Epidemics', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Europe', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'China', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'CureVac GmbH', 'rank': 10, 'major': 'N'}, {'name': 'persons', 'value': 'Menichella, Daniel', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Clinical Trials', 'rank': 13, 'major': 'N'}]",2020-03-20T00:18:00+0000,Washington,1711,WASHINGTON _?A global arms race coronavirus vaccine underway.,washington _?A global arm race coronaviru vaccin underway.,2020-03-20
8,59,"In an era of global connectedness, the quest for a coronavirus shot has revealed the boundaries of international solidarity.",Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher,"{'main': 'The Race for a Vaccine', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'CureVac GmbH', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Bennhold, Katrin', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Berlin (Germany)', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Germany', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 7, 'major': 'N'}]",2020-04-01T09:56:43+0000,Podcasts,288,Listen subscribe podcast mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher,listen subscrib podcast mobil device:via appl podcast | via spotifi | via stitcher,2020-04-01
9,611,"A tuberculosis vaccine invented a century ago is cheap and safe, and seems to bolster the body__ immune system.","A vaccine that was developed a hundred years ago to fight the tuberculosis scourge in Europe is now being tested against the coronavirus by scientists eager to find a quick way to protect health care workers, among others.","{'main': 'Can an Old Vaccine Stop the New Coronavirus?', 'kicker': None, 'content_kicker': None, 'print_headline': 'Scientists Hope That a Century-Old Vaccine Could __rain_?Immune Systems', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'your-feed-science', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Infant Mortality', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Immune System', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Tuberculosis', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Clinical Trials', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Third World and Developing Countries', 'rank': 8, 'major': 'N'}]",2020-04-03T22:09:17+0000,Science,1042,"A vaccine developed hundred years ago fight tuberculosis scourge Europe tested coronavirus scientists eager find quick way protect health care workers, among others.","A vaccin develop hundr year ago fight tuberculosi scourg europ test coronaviru scientist eager find quick way protect health care workers, among others.",2020-04-03
